dispatch_date,violent_offense_count,felony_count,misdemeanor_count,year,year_group,dispatch_wday,dispatch_month,dispatch_quarter,tmax,tmin
2006-01-01,73,91,167,2006,2006-2009,Sunday,January,1,45.0,35.0
2006-01-02,52,75,110,2006,2006-2009,Monday,January,1,46.0,35.0
2006-01-03,62,93,88,2006,2006-2009,Tuesday,January,1,46.0,39.0
2006-01-04,53,71,111,2006,2006-2009,Wednesday,January,1,46.0,37.0
2006-01-05,43,54,99,2006,2006-2009,Thursday,January,1,51.0,37.0
2006-01-06,49,65,112,2006,2006-2009,Friday,January,1,42.0,33.0
2006-01-07,64,74,122,2006,2006-2009,Saturday,January,1,38.0,26.0
2006-01-08,48,60,136,2006,2006-2009,Sunday,January,1,47.0,33.0
2006-01-09,72,95,127,2006,2006-2009,Monday,January,1,57.0,39.0
2006-01-10,48,70,109,2006,2006-2009,Tuesday,January,1,53.0,37.0
2006-01-11,41,56,116,2006,2006-2009,Wednesday,January,1,52.0,38.0
2006-01-12,53,72,102,2006,2006-2009,Thursday,January,1,61.0,43.0
2006-01-13,56,70,107,2006,2006-2009,Friday,January,1,53.0,40.0
2006-01-14,67,95,108,2006,2006-2009,Saturday,January,1,59.0,31.0
2006-01-15,56,74,106,2006,2006-2009,Sunday,January,1,33.0,25.0
2006-01-16,53,72,123,2006,2006-2009,Monday,January,1,34.0,21.0
2006-01-17,46,53,102,2006,2006-2009,Tuesday,January,1,48.0,27.0
2006-01-18,45,62,127,2006,2006-2009,Wednesday,January,1,51.0,36.0
2006-01-19,44,61,106,2006,2006-2009,Thursday,January,1,49.0,33.0
2006-01-20,58,76,150,2006,2006-2009,Friday,January,1,59.0,40.0
2006-01-21,51,69,158,2006,2006-2009,Saturday,January,1,61.0,44.0
2006-01-22,72,93,143,2006,2006-2009,Sunday,January,1,49.0,33.0
2006-01-23,62,78,130,2006,2006-2009,Monday,January,1,42.0,36.0
2006-01-24,71,85,127,2006,2006-2009,Tuesday,January,1,52.0,35.0
2006-01-25,49,68,107,2006,2006-2009,Wednesday,January,1,42.0,30.0
2006-01-26,41,62,95,2006,2006-2009,Thursday,January,1,38.0,32.0
2006-01-27,73,85,120,2006,2006-2009,Friday,January,1,48.0,26.0
2006-01-28,49,69,130,2006,2006-2009,Saturday,January,1,62.0,34.0
2006-01-29,62,84,138,2006,2006-2009,Sunday,January,1,54.0,43.0
2006-01-30,56,82,139,2006,2006-2009,Monday,January,1,68.0,46.0
2006-01-31,41,69,107,2006,2006-2009,Tuesday,January,1,46.0,44.0
2006-02-01,48,62,129,2006,2006-2009,Wednesday,February,1,46.0,36.0
2006-02-02,46,75,97,2006,2006-2009,Thursday,February,1,58.0,35.0
2006-02-03,54,72,132,2006,2006-2009,Friday,February,1,67.0,44.0
2006-02-04,52,70,138,2006,2006-2009,Saturday,February,1,59.0,45.0
2006-02-05,57,74,129,2006,2006-2009,Sunday,February,1,58.0,38.0
2006-02-06,44,62,121,2006,2006-2009,Monday,February,1,48.0,35.0
2006-02-07,49,66,100,2006,2006-2009,Tuesday,February,1,46.0,34.0
2006-02-08,38,59,129,2006,2006-2009,Wednesday,February,1,39.0,26.0
2006-02-09,55,68,93,2006,2006-2009,Thursday,February,1,38.0,30.0
2006-02-10,44,60,105,2006,2006-2009,Friday,February,1,42.0,32.0
2006-02-11,35,50,109,2006,2006-2009,Saturday,February,1,42.0,26.0
2006-02-12,42,48,61,2006,2006-2009,Sunday,February,1,32.0,23.0
2006-02-13,45,58,66,2006,2006-2009,Monday,February,1,42.0,30.0
2006-02-14,38,54,80,2006,2006-2009,Tuesday,February,1,47.0,35.0
2006-02-15,48,63,99,2006,2006-2009,Wednesday,February,1,59.0,38.0
2006-02-16,55,73,98,2006,2006-2009,Thursday,February,1,64.0,52.0
2006-02-17,65,80,108,2006,2006-2009,Friday,February,1,62.0,34.0
2006-02-18,60,85,133,2006,2006-2009,Saturday,February,1,38.0,16.0
2006-02-19,67,82,107,2006,2006-2009,Sunday,February,1,32.0,18.0
2006-02-20,48,66,138,2006,2006-2009,Monday,February,1,44.0,30.0
2006-02-21,52,74,104,2006,2006-2009,Tuesday,February,1,47.0,33.0
2006-02-22,52,60,114,2006,2006-2009,Wednesday,February,1,42.0,38.0
2006-02-23,50,63,98,2006,2006-2009,Thursday,February,1,48.0,34.0
2006-02-24,43,61,110,2006,2006-2009,Friday,February,1,48.0,30.0
2006-02-25,50,64,123,2006,2006-2009,Saturday,February,1,54.0,24.0
2006-02-26,41,53,110,2006,2006-2009,Sunday,February,1,35.0,22.0
2006-02-27,46,68,86,2006,2006-2009,Monday,February,1,36.0,24.0
2006-02-28,49,67,105,2006,2006-2009,Tuesday,February,1,40.0,30.0
2006-03-01,53,62,96,2006,2006-2009,Wednesday,March,1,50.0,38.0
2006-03-02,42,53,84,2006,2006-2009,Thursday,March,1,41.0,29.0
2006-03-03,49,60,100,2006,2006-2009,Friday,March,1,40.0,30.0
2006-03-04,54,69,119,2006,2006-2009,Saturday,March,1,48.0,12.0
2006-03-05,53,79,116,2006,2006-2009,Sunday,March,1,54.0,32.0
2006-03-06,56,78,111,2006,2006-2009,Monday,March,1,50.0,30.0
2006-03-07,41,63,95,2006,2006-2009,Tuesday,March,1,56.0,42.0
2006-03-08,46,69,104,2006,2006-2009,Wednesday,March,1,58.0,47.0
2006-03-09,78,90,113,2006,2006-2009,Thursday,March,1,68.0,52.0
2006-03-10,57,70,100,2006,2006-2009,Friday,March,1,78.0,54.0
2006-03-11,62,79,141,2006,2006-2009,Saturday,March,1,76.0,50.0
2006-03-12,54,73,131,2006,2006-2009,Sunday,March,1,69.0,50.0
2006-03-13,58,73,135,2006,2006-2009,Monday,March,1,82.0,58.0
2006-03-14,51,68,107,2006,2006-2009,Tuesday,March,1,62.0,39.0
2006-03-15,44,61,86,2006,2006-2009,Wednesday,March,1,48.0,38.0
2006-03-16,51,69,104,2006,2006-2009,Thursday,March,1,53.0,38.0
2006-03-17,58,79,111,2006,2006-2009,Friday,March,1,46.0,31.0
2006-03-18,53,71,149,2006,2006-2009,Saturday,March,1,56.0,30.0
2006-03-19,51,71,129,2006,2006-2009,Sunday,March,1,49.0,34.0
2006-03-20,45,62,114,2006,2006-2009,Monday,March,1,48.0,28.0
2006-03-21,54,73,117,2006,2006-2009,Tuesday,March,1,48.0,32.0
2006-03-22,42,57,119,2006,2006-2009,Wednesday,March,1,48.0,40.0
2006-03-23,49,69,117,2006,2006-2009,Thursday,March,1,55.0,36.0
2006-03-24,61,81,106,2006,2006-2009,Friday,March,1,56.0,42.0
2006-03-25,61,85,128,2006,2006-2009,Saturday,March,1,50.0,38.0
2006-03-26,66,87,148,2006,2006-2009,Sunday,March,1,54.0,38.0
2006-03-27,55,80,107,2006,2006-2009,Monday,March,1,62.0,47.0
2006-03-28,63,80,113,2006,2006-2009,Tuesday,March,1,60.0,44.0
2006-03-29,70,85,113,2006,2006-2009,Wednesday,March,1,68.0,44.0
2006-03-30,68,83,113,2006,2006-2009,Thursday,March,1,72.0,58.0
2006-03-31,74,88,134,2006,2006-2009,Friday,March,1,78.0,60.0
2006-04-01,51,65,111,2006,2006-2009,Saturday,April,2,76.0,48.0
2006-04-02,42,56,122,2006,2006-2009,Sunday,April,2,72.0,48.0
2006-04-03,43,66,103,2006,2006-2009,Monday,April,2,62.0,50.0
2006-04-04,53,75,96,2006,2006-2009,Tuesday,April,2,59.0,38.0
2006-04-05,41,53,111,2006,2006-2009,Wednesday,April,2,50.0,40.0
2006-04-06,68,88,91,2006,2006-2009,Thursday,April,2,62.0,48.0
2006-04-07,60,80,98,2006,2006-2009,Friday,April,2,69.0,48.0
2006-04-08,62,74,107,2006,2006-2009,Saturday,April,2,50.0,36.0
2006-04-09,52,72,122,2006,2006-2009,Sunday,April,2,52.0,42.0
2006-04-10,55,76,130,2006,2006-2009,Monday,April,2,70.0,42.0
2006-04-11,56,76,116,2006,2006-2009,Tuesday,April,2,75.0,52.0
2006-04-12,56,78,113,2006,2006-2009,Wednesday,April,2,76.0,58.0
2006-04-13,55,72,120,2006,2006-2009,Thursday,April,2,81.0,58.0
2006-04-14,61,75,127,2006,2006-2009,Friday,April,2,72.0,58.0
2006-04-15,76,92,149,2006,2006-2009,Saturday,April,2,84.0,54.0
2006-04-16,61,76,123,2006,2006-2009,Sunday,April,2,74.0,50.0
2006-04-17,49,67,126,2006,2006-2009,Monday,April,2,70.0,50.0
2006-04-18,70,96,90,2006,2006-2009,Tuesday,April,2,76.0,52.0
2006-04-19,77,93,118,2006,2006-2009,Wednesday,April,2,81.0,60.0
2006-04-20,56,78,105,2006,2006-2009,Thursday,April,2,89.0,56.0
2006-04-21,65,93,121,2006,2006-2009,Friday,April,2,68.0,48.0
2006-04-22,54,79,92,2006,2006-2009,Saturday,April,2,62.0,50.0
2006-04-23,49,71,121,2006,2006-2009,Sunday,April,2,70.0,52.0
2006-04-24,64,81,114,2006,2006-2009,Monday,April,2,72.0,52.0
2006-04-25,59,85,122,2006,2006-2009,Tuesday,April,2,78.0,42.0
2006-04-26,47,64,112,2006,2006-2009,Wednesday,April,2,72.0,48.0
2006-04-27,52,78,93,2006,2006-2009,Thursday,April,2,78.0,52.0
2006-04-28,85,109,103,2006,2006-2009,Friday,April,2,69.0,49.0
2006-04-29,74,96,110,2006,2006-2009,Saturday,April,2,68.0,42.0
2006-04-30,81,101,114,2006,2006-2009,Sunday,April,2,70.0,52.0
2006-05-01,65,89,120,2006,2006-2009,Monday,May,2,72.0,48.0
2006-05-02,67,80,123,2006,2006-2009,Tuesday,May,2,80.0,48.0
2006-05-03,79,100,99,2006,2006-2009,Wednesday,May,2,78.0,58.0
2006-05-04,50,69,119,2006,2006-2009,Thursday,May,2,86.0,51.0
2006-05-05,53,73,126,2006,2006-2009,Friday,May,2,86.0,64.0
2006-05-06,63,81,102,2006,2006-2009,Saturday,May,2,82.0,48.0
2006-05-07,59,79,136,2006,2006-2009,Sunday,May,2,72.0,52.0
2006-05-08,57,85,124,2006,2006-2009,Monday,May,2,66.0,54.0
2006-05-09,66,96,101,2006,2006-2009,Tuesday,May,2,76.0,56.0
2006-05-10,77,94,112,2006,2006-2009,Wednesday,May,2,82.0,58.0
2006-05-11,55,67,109,2006,2006-2009,Thursday,May,2,76.0,58.0
2006-05-12,51,71,118,2006,2006-2009,Friday,May,2,74.0,51.0
2006-05-13,74,93,129,2006,2006-2009,Saturday,May,2,78.0,52.0
2006-05-14,67,84,130,2006,2006-2009,Sunday,May,2,68.0,50.0
2006-05-15,56,86,118,2006,2006-2009,Monday,May,2,74.0,54.0
2006-05-16,62,91,134,2006,2006-2009,Tuesday,May,2,72.0,54.0
2006-05-17,65,83,97,2006,2006-2009,Wednesday,May,2,74.0,58.0
2006-05-18,57,80,111,2006,2006-2009,Thursday,May,2,78.0,56.0
2006-05-19,69,92,108,2006,2006-2009,Friday,May,2,70.0,56.0
2006-05-20,47,68,130,2006,2006-2009,Saturday,May,2,76.0,52.0
2006-05-21,71,95,161,2006,2006-2009,Sunday,May,2,76.0,58.0
2006-05-22,76,100,152,2006,2006-2009,Monday,May,2,70.0,48.0
2006-05-23,56,85,143,2006,2006-2009,Tuesday,May,2,74.0,52.0
2006-05-24,71,88,130,2006,2006-2009,Wednesday,May,2,78.0,62.0
2006-05-25,78,100,116,2006,2006-2009,Thursday,May,2,78.0,56.0
2006-05-26,53,70,139,2006,2006-2009,Friday,May,2,84.0,62.0
2006-05-27,68,91,141,2006,2006-2009,Saturday,May,2,87.0,54.0
2006-05-28,77,103,157,2006,2006-2009,Sunday,May,2,92.0,78.0
2006-05-29,78,102,111,2006,2006-2009,Monday,May,2,98.0,68.0
2006-05-30,64,94,148,2006,2006-2009,Tuesday,May,2,86.0,78.0
2006-05-31,69,93,123,2006,2006-2009,Wednesday,May,2,92.0,70.0
2006-06-01,50,68,80,2006,2006-2009,Thursday,June,2,96.0,70.0
2006-06-02,70,96,108,2006,2006-2009,Friday,June,2,85.0,52.0
2006-06-03,63,92,120,2006,2006-2009,Saturday,June,2,77.0,60.0
2006-06-04,77,101,138,2006,2006-2009,Sunday,June,2,78.0,60.0
2006-06-05,86,121,130,2006,2006-2009,Monday,June,2,76.0,60.0
2006-06-06,72,98,134,2006,2006-2009,Tuesday,June,2,80.0,60.0
2006-06-07,43,64,120,2006,2006-2009,Wednesday,June,2,76.0,60.0
2006-06-08,49,67,111,2006,2006-2009,Thursday,June,2,80.0,58.0
2006-06-09,67,78,111,2006,2006-2009,Friday,June,2,82.0,60.0
2006-06-10,52,75,137,2006,2006-2009,Saturday,June,2,74.0,55.0
2006-06-11,79,103,139,2006,2006-2009,Sunday,June,2,79.0,54.0
2006-06-12,78,105,125,2006,2006-2009,Monday,June,2,76.0,60.0
2006-06-13,50,75,120,2006,2006-2009,Tuesday,June,2,88.0,68.0
2006-06-14,75,97,94,2006,2006-2009,Wednesday,June,2,83.0,62.0
2006-06-15,54,72,134,2006,2006-2009,Thursday,June,2,84.0,65.0
2006-06-16,71,86,126,2006,2006-2009,Friday,June,2,90.0,69.0
2006-06-17,53,72,157,2006,2006-2009,Saturday,June,2,90.0,70.0
2006-06-18,59,85,124,2006,2006-2009,Sunday,June,2,96.0,74.0
2006-06-19,61,90,106,2006,2006-2009,Monday,June,2,92.0,72.0
2006-06-20,56,85,123,2006,2006-2009,Tuesday,June,2,91.0,70.0
2006-06-21,63,87,123,2006,2006-2009,Wednesday,June,2,92.0,76.0
2006-06-22,58,88,116,2006,2006-2009,Thursday,June,2,95.0,73.0
2006-06-23,71,98,115,2006,2006-2009,Friday,June,2,95.0,76.0
2006-06-24,70,93,137,2006,2006-2009,Saturday,June,2,88.0,72.0
2006-06-25,64,88,126,2006,2006-2009,Sunday,June,2,82.0,72.0
2006-06-26,71,109,129,2006,2006-2009,Monday,June,2,82.0,74.0
2006-06-27,53,86,145,2006,2006-2009,Tuesday,June,2,83.0,72.0
2006-06-28,64,93,135,2006,2006-2009,Wednesday,June,2,85.0,70.0
2006-06-29,72,88,115,2006,2006-2009,Thursday,June,2,87.0,72.0
2006-06-30,76,90,109,2006,2006-2009,Friday,June,2,86.0,69.0
2006-07-01,57,71,120,2006,2006-2009,Saturday,July,3,90.0,72.0
2006-07-02,64,87,121,2006,2006-2009,Sunday,July,3,95.0,73.0
2006-07-03,56,80,124,2006,2006-2009,Monday,July,3,94.0,78.0
2006-07-04,70,91,117,2006,2006-2009,Tuesday,July,3,95.0,75.0
2006-07-05,53,77,133,2006,2006-2009,Wednesday,July,3,84.0,67.0
2006-07-06,59,86,122,2006,2006-2009,Thursday,July,3,82.0,64.0
2006-07-07,60,82,121,2006,2006-2009,Friday,July,3,88.0,72.0
2006-07-08,68,93,138,2006,2006-2009,Saturday,July,3,86.0,71.0
2006-07-09,66,96,128,2006,2006-2009,Sunday,July,3,89.0,71.0
2006-07-10,60,101,161,2006,2006-2009,Monday,July,3,92.0,76.0
2006-07-11,74,100,119,2006,2006-2009,Tuesday,July,3,98.0,79.0
2006-07-12,56,92,151,2006,2006-2009,Wednesday,July,3,96.0,76.0
2006-07-13,43,71,113,2006,2006-2009,Thursday,July,3,96.0,72.0
2006-07-14,57,76,106,2006,2006-2009,Friday,July,3,97.0,71.0
2006-07-15,73,93,133,2006,2006-2009,Saturday,July,3,88.0,74.0
2006-07-16,66,83,134,2006,2006-2009,Sunday,July,3,97.0,79.0
2006-07-17,57,99,119,2006,2006-2009,Monday,July,3,104.0,81.0
2006-07-18,65,90,122,2006,2006-2009,Tuesday,July,3,104.0,80.0
2006-07-19,54,83,140,2006,2006-2009,Wednesday,July,3,94.0,75.0
2006-07-20,61,87,129,2006,2006-2009,Thursday,July,3,93.0,79.0
2006-07-21,62,96,127,2006,2006-2009,Friday,July,3,95.0,74.0
2006-07-22,72,102,145,2006,2006-2009,Saturday,July,3,87.0,71.0
2006-07-23,75,100,124,2006,2006-2009,Sunday,July,3,87.0,68.0
2006-07-24,72,113,145,2006,2006-2009,Monday,July,3,92.0,74.0
2006-07-25,65,87,133,2006,2006-2009,Tuesday,July,3,89.0,74.0
2006-07-26,60,83,131,2006,2006-2009,Wednesday,July,3,89.0,75.0
2006-07-27,49,64,118,2006,2006-2009,Thursday,July,3,93.0,74.0
2006-07-28,72,93,92,2006,2006-2009,Friday,July,3,93.0,73.0
2006-07-29,77,100,146,2006,2006-2009,Saturday,July,3,92.0,79.0
2006-07-30,72,89,139,2006,2006-2009,Sunday,July,3,93.0,79.0
2006-07-31,64,94,146,2006,2006-2009,Monday,July,3,94.0,80.0
2006-08-01,71,95,118,2006,2006-2009,Tuesday,August,3,99.0,84.0
2006-08-02,58,96,114,2006,2006-2009,Wednesday,August,3,98.0,83.0
2006-08-03,52,68,107,2006,2006-2009,Thursday,August,3,99.0,83.0
2006-08-04,57,84,106,2006,2006-2009,Friday,August,3,89.0,72.0
2006-08-05,69,83,133,2006,2006-2009,Saturday,August,3,92.0,72.0
2006-08-06,77,113,119,2006,2006-2009,Sunday,August,3,92.0,75.0
2006-08-07,64,97,146,2006,2006-2009,Monday,August,3,90.0,75.0
2006-08-08,60,85,135,2006,2006-2009,Tuesday,August,3,89.0,64.0
2006-08-09,68,100,127,2006,2006-2009,Wednesday,August,3,86.0,72.0
2006-08-10,68,99,120,2006,2006-2009,Thursday,August,3,83.0,68.0
2006-08-11,60,91,122,2006,2006-2009,Friday,August,3,82.0,64.0
2006-08-12,75,98,143,2006,2006-2009,Saturday,August,3,81.0,61.0
2006-08-13,59,96,158,2006,2006-2009,Sunday,August,3,83.0,68.0
2006-08-14,63,90,141,2006,2006-2009,Monday,August,3,87.0,74.0
2006-08-15,67,91,124,2006,2006-2009,Tuesday,August,3,88.0,68.0
2006-08-16,60,82,144,2006,2006-2009,Wednesday,August,3,89.0,68.0
2006-08-17,69,92,123,2006,2006-2009,Thursday,August,3,87.0,71.0
2006-08-18,42,71,132,2006,2006-2009,Friday,August,3,86.0,72.0
2006-08-19,73,103,112,2006,2006-2009,Saturday,August,3,88.0,75.0
2006-08-20,79,98,144,2006,2006-2009,Sunday,August,3,91.0,68.0
2006-08-21,67,111,146,2006,2006-2009,Monday,August,3,87.0,69.0
2006-08-22,68,92,150,2006,2006-2009,Tuesday,August,3,88.0,70.0
2006-08-23,76,109,142,2006,2006-2009,Wednesday,August,3,88.0,70.0
2006-08-24,53,73,128,2006,2006-2009,Thursday,August,3,87.0,64.0
2006-08-25,59,91,114,2006,2006-2009,Friday,August,3,88.0,70.0
2006-08-26,59,85,126,2006,2006-2009,Saturday,August,3,83.0,69.0
2006-08-27,72,105,162,2006,2006-2009,Sunday,August,3,80.0,70.0
2006-08-28,67,90,125,2006,2006-2009,Monday,August,3,83.0,72.0
2006-08-29,69,100,116,2006,2006-2009,Tuesday,August,3,78.0,64.0
2006-08-30,51,71,128,2006,2006-2009,Wednesday,August,3,70.0,64.0
2006-08-31,63,90,138,2006,2006-2009,Thursday,August,3,72.0,64.0
2006-09-01,40,67,107,2006,2006-2009,Friday,September,3,67.0,60.0
2006-09-02,46,74,126,2006,2006-2009,Saturday,September,3,70.0,62.0
2006-09-03,71,104,166,2006,2006-2009,Sunday,September,3,75.0,63.0
2006-09-04,61,83,144,2006,2006-2009,Monday,September,3,78.0,66.0
2006-09-05,62,92,142,2006,2006-2009,Tuesday,September,3,72.0,62.0
2006-09-06,52,76,126,2006,2006-2009,Wednesday,September,3,78.0,61.0
2006-09-07,59,76,127,2006,2006-2009,Thursday,September,3,83.0,62.0
2006-09-08,61,93,133,2006,2006-2009,Friday,September,3,84.0,65.0
2006-09-09,58,78,124,2006,2006-2009,Saturday,September,3,86.0,66.0
2006-09-10,61,93,161,2006,2006-2009,Sunday,September,3,78.0,63.0
2006-09-11,55,75,149,2006,2006-2009,Monday,September,3,78.0,56.0
2006-09-12,46,73,118,2006,2006-2009,Tuesday,September,3,71.0,59.0
2006-09-13,62,83,108,2006,2006-2009,Wednesday,September,3,71.0,63.0
2006-09-14,54,69,114,2006,2006-2009,Thursday,September,3,70.0,65.0
2006-09-15,71,87,128,2006,2006-2009,Friday,September,3,75.0,66.0
2006-09-16,76,101,149,2006,2006-2009,Saturday,September,3,76.0,64.0
2006-09-17,87,119,175,2006,2006-2009,Sunday,September,3,82.0,66.0
2006-09-18,62,85,139,2006,2006-2009,Monday,September,3,85.0,68.0
2006-09-19,56,85,119,2006,2006-2009,Tuesday,September,3,78.0,60.0
2006-09-20,61,86,115,2006,2006-2009,Wednesday,September,3,70.0,57.0
2006-09-21,62,84,123,2006,2006-2009,Thursday,September,3,69.0,52.0
2006-09-22,68,96,125,2006,2006-2009,Friday,September,3,72.0,54.0
2006-09-23,61,88,114,2006,2006-2009,Saturday,September,3,80.0,67.0
2006-09-24,65,93,147,2006,2006-2009,Sunday,September,3,79.0,62.0
2006-09-25,67,89,150,2006,2006-2009,Monday,September,3,72.0,56.0
2006-09-26,60,79,130,2006,2006-2009,Tuesday,September,3,74.0,57.0
2006-09-27,64,91,113,2006,2006-2009,Wednesday,September,3,77.0,62.0
2006-09-28,64,78,138,2006,2006-2009,Thursday,September,3,79.0,56.0
2006-09-29,53,66,143,2006,2006-2009,Friday,September,3,65.0,55.0
2006-09-30,59,90,130,2006,2006-2009,Saturday,September,3,65.0,57.0
2006-10-01,72,90,141,2006,2006-2009,Sunday,October,4,73.0,54.0
2006-10-02,55,85,146,2006,2006-2009,Monday,October,4,72.0,56.0
2006-10-03,71,89,117,2006,2006-2009,Tuesday,October,4,71.0,58.0
2006-10-04,66,86,104,2006,2006-2009,Wednesday,October,4,71.0,54.0
2006-10-05,59,89,120,2006,2006-2009,Thursday,October,4,83.0,66.0
2006-10-06,68,90,114,2006,2006-2009,Friday,October,4,73.0,56.0
2006-10-07,74,98,129,2006,2006-2009,Saturday,October,4,60.0,49.0
2006-10-08,73,99,135,2006,2006-2009,Sunday,October,4,73.0,52.0
2006-10-09,63,91,156,2006,2006-2009,Monday,October,4,79.0,56.0
2006-10-10,51,71,137,2006,2006-2009,Tuesday,October,4,80.0,61.0
2006-10-11,65,94,116,2006,2006-2009,Wednesday,October,4,68.0,60.0
2006-10-12,76,97,131,2006,2006-2009,Thursday,October,4,71.0,48.0
2006-10-13,71,92,124,2006,2006-2009,Friday,October,4,55.0,41.0
2006-10-14,52,78,146,2006,2006-2009,Saturday,October,4,60.0,44.0
2006-10-15,65,87,144,2006,2006-2009,Sunday,October,4,59.0,42.0
2006-10-16,69,92,120,2006,2006-2009,Monday,October,4,64.0,42.0
2006-10-17,68,97,132,2006,2006-2009,Tuesday,October,4,62.0,54.0
2006-10-18,63,78,129,2006,2006-2009,Wednesday,October,4,73.0,62.0
2006-10-19,60,84,129,2006,2006-2009,Thursday,October,4,69.0,60.0
2006-10-20,62,81,126,2006,2006-2009,Friday,October,4,67.0,50.0
2006-10-21,66,97,165,2006,2006-2009,Saturday,October,4,59.0,44.0
2006-10-22,96,120,123,2006,2006-2009,Sunday,October,4,61.0,45.0
2006-10-23,76,107,132,2006,2006-2009,Monday,October,4,57.0,46.0
2006-10-24,64,92,122,2006,2006-2009,Tuesday,October,4,50.0,39.0
2006-10-25,60,86,118,2006,2006-2009,Wednesday,October,4,53.0,41.0
2006-10-26,56,81,136,2006,2006-2009,Thursday,October,4,51.0,42.0
2006-10-27,58,85,121,2006,2006-2009,Friday,October,4,48.0,38.0
2006-10-28,73,96,174,2006,2006-2009,Saturday,October,4,67.0,45.0
2006-10-29,79,115,175,2006,2006-2009,Sunday,October,4,56.0,44.0
2006-10-30,63,88,201,2006,2006-2009,Monday,October,4,64.0,43.0
2006-10-31,73,88,173,2006,2006-2009,Tuesday,October,4,72.0,50.0
2006-11-01,74,93,132,2006,2006-2009,Wednesday,November,4,68.0,55.0
2006-11-02,67,94,140,2006,2006-2009,Thursday,November,4,57.0,40.0
2006-11-03,59,74,114,2006,2006-2009,Friday,November,4,46.0,33.0
2006-11-04,53,80,120,2006,2006-2009,Saturday,November,4,46.0,31.0
2006-11-05,60,78,145,2006,2006-2009,Sunday,November,4,51.0,36.0
2006-11-06,72,97,158,2006,2006-2009,Monday,November,4,56.0,37.0
2006-11-07,79,110,118,2006,2006-2009,Tuesday,November,4,61.0,43.0
2006-11-08,56,81,100,2006,2006-2009,Wednesday,November,4,57.0,54.0
2006-11-09,50,78,125,2006,2006-2009,Thursday,November,4,68.0,55.0
2006-11-10,68,96,120,2006,2006-2009,Friday,November,4,67.0,52.0
2006-11-11,71,99,159,2006,2006-2009,Saturday,November,4,73.0,49.0
2006-11-12,89,117,160,2006,2006-2009,Sunday,November,4,62.0,48.0
2006-11-13,51,82,117,2006,2006-2009,Monday,November,4,58.0,50.0
2006-11-14,61,81,118,2006,2006-2009,Tuesday,November,4,58.0,54.0
2006-11-15,71,97,131,2006,2006-2009,Wednesday,November,4,68.0,54.0
2006-11-16,67,103,119,2006,2006-2009,Thursday,November,4,70.0,54.0
2006-11-17,57,81,124,2006,2006-2009,Friday,November,4,61.0,42.0
2006-11-18,62,83,162,2006,2006-2009,Saturday,November,4,50.0,39.0
2006-11-19,67,93,147,2006,2006-2009,Sunday,November,4,48.0,40.0
2006-11-20,68,86,128,2006,2006-2009,Monday,November,4,42.0,38.0
2006-11-21,70,91,105,2006,2006-2009,Tuesday,November,4,43.0,32.0
2006-11-22,55,80,106,2006,2006-2009,Wednesday,November,4,43.0,39.0
2006-11-23,38,65,81,2006,2006-2009,Thursday,November,4,46.0,40.0
2006-11-24,61,96,134,2006,2006-2009,Friday,November,4,63.0,43.0
2006-11-25,69,95,148,2006,2006-2009,Saturday,November,4,57.0,38.0
2006-11-26,80,107,146,2006,2006-2009,Sunday,November,4,58.0,35.0
2006-11-27,65,86,147,2006,2006-2009,Monday,November,4,59.0,38.0
2006-11-28,54,77,115,2006,2006-2009,Tuesday,November,4,62.0,39.0
2006-11-29,62,84,122,2006,2006-2009,Wednesday,November,4,62.0,47.0
2006-11-30,62,79,115,2006,2006-2009,Thursday,November,4,68.0,53.0
2006-12-01,63,91,140,2006,2006-2009,Friday,December,4,69.0,44.0
2006-12-02,68,89,158,2006,2006-2009,Saturday,December,4,44.0,36.0
2006-12-03,62,90,136,2006,2006-2009,Sunday,December,4,44.0,32.0
2006-12-04,58,88,134,2006,2006-2009,Monday,December,4,40.0,30.0
2006-12-05,53,73,101,2006,2006-2009,Tuesday,December,4,37.0,29.0
2006-12-06,59,85,99,2006,2006-2009,Wednesday,December,4,49.0,31.0
2006-12-07,68,85,101,2006,2006-2009,Thursday,December,4,52.0,29.0
2006-12-08,61,83,102,2006,2006-2009,Friday,December,4,33.0,22.0
2006-12-09,67,90,134,2006,2006-2009,Saturday,December,4,40.0,21.0
2006-12-10,59,88,125,2006,2006-2009,Sunday,December,4,55.0,32.0
2006-12-11,62,76,119,2006,2006-2009,Monday,December,4,61.0,41.0
2006-12-12,52,73,123,2006,2006-2009,Tuesday,December,4,50.0,43.0
2006-12-13,51,88,129,2006,2006-2009,Wednesday,December,4,52.0,46.0
2006-12-14,52,68,131,2006,2006-2009,Thursday,December,4,51.0,43.0
2006-12-15,52,80,154,2006,2006-2009,Friday,December,4,51.0,43.0
2006-12-16,69,86,131,2006,2006-2009,Saturday,December,4,53.0,43.0
2006-12-17,57,73,146,2006,2006-2009,Sunday,December,4,55.0,40.0
2006-12-18,76,97,135,2006,2006-2009,Monday,December,4,67.0,47.0
2006-12-19,51,76,103,2006,2006-2009,Tuesday,December,4,47.0,37.0
2006-12-20,68,99,126,2006,2006-2009,Wednesday,December,4,45.0,34.0
2006-12-21,48,69,128,2006,2006-2009,Thursday,December,4,50.0,36.0
2006-12-22,56,84,113,2006,2006-2009,Friday,December,4,54.0,43.0
2006-12-23,45,72,144,2006,2006-2009,Saturday,December,4,59.0,47.0
