"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-01","0.20","36","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-02","0.00","42","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-03","0.01","29","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-04","0.00","27","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-05","0.00","32","24"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-06","0.00","32","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-07","0.00","37","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-08","0.09","39","28"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-09","0.00","33","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-10","0.00","31","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-11","0.00","30","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-12","0.00","34","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-13","0.00","35","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-14","0.00","39","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-15","0.00","49","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-16","0.00","52","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-17","0.00","53","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-18","0.80","44","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-19","0.00","54","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-20","0.00","52","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-21","0.00","44","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-22","0.00","43","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-23","0.00","45","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-24","0.00","44","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-25","0.92","61","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-26","0.91","62","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-27","0.01","44","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-28","0.00","40","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-29","0.00","46","17"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-30","0.00","24","17"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-01-31","0.03","20","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-02-01","0.00","32","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2010-02-02","0.00","36","28"
