"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-01","0.00","51","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-02","0.00","42","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-03","0.00","44","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-04","0.00","49","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-05","0.00","34","11"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-06","0.00","32","11"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-07","0.00","41","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-08","0.00","45","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-09","0.00","44","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-10","0.83","55","41"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-11","0.00","65","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-12","0.00","35","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-13","0.00","45","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-14","0.00","29","20"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-15","0.00","46","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-16","0.30","53","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-17","0.00","53","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-18","0.05","37","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-19","0.00","27","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-20","0.00","29","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-21","0.00","36","24"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-22","0.00","36","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-23","0.00","27","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-24","0.00","29","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-25",,"33","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2016-01-26","0.00","41","26"
