"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-01","1.59","50","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-02","0.00","61","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-03","0.00","45","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-04","0.00","46","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-05","0.50","47","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-06","0.50","48","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-07","0.00","52","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-08","0.08","37","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-09","0.15","46","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-10","0.00","47","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-11","0.00","40","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-12","0.00","34","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-13","2.00","40","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-14","0.00","35","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-15","0.00","36","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-16","0.00","39","28"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-17","0.00","39","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-18","0.08","39","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-19","0.00","37","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-20","1.35","47","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-21","0.00","49","8"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-22","0.00","19","10"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-23","0.00","34","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-24","0.25","59","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-25","0.88","60","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-26","0.00","40","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-27","0.00","39","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-28","0.04","48","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-29","0.00","39","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-30",,"43","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-01-31",,"43","5"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-01","0.00","18","8"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-02","0.04","18","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-03","0.00","38","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-04","0.00","51","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-05","0.00","62","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-06","0.00","69","42"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2019-02-07","0.33","59","40"
