"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-04","0.00","39","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-05","0.00","41","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-06","0.03","49","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-07","0.09","41","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-08","0.75","48","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-09","0.00","44","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-10","0.00","62","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-11","0.00","61","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-12","0.38","62","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-13","0.56","58","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-14","0.00","50","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-15","0.00","42","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-16","0.00","51","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-17","0.20","40","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-18","0.00","42","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-19","0.80","41","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-20","0.04","53","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-21","0.01","49","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-22","0.00","39","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-23","0.00","43","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-24","0.00","50","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-25","0.29","48","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-26","0.25","41","33"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-27","0.00","52","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-28","0.00","52","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-29","0.00","49","40"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-30","0.00","54","40"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-03-31","0.00","60","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-01","0.16","59","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-02","0.00","64","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-03","0.00","46","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-04","0.00","49","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-05","0.09","53","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-06","0.00","64","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-07","0.00","55","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-08","0.00","65","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-09","0.00","79","61"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-10","0.00","85","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-11","0.28","90","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-12","0.41","74","46"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-13","0.71","53","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-14","0.00","63","49"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-15","0.00","63","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-16","0.00","64","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-17","0.00","60","48"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-18","0.00","74","53"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-19","0.00","66","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-20","0.65","80","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-21","0.00","61","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-22","0.00","55","40"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-23","0.00","53","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-24","0.00","55","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-25","0.00","73","46"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-26","0.00","66","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-27","0.00","67","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-28","0.00","72","52"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-29","0.21","72","53"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-04-30","0.15","59","52"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-01","0.00","69","49"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-02","0.00","69","49"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-03","0.00","69","49"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-04","0.00","64","48"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-05","0.00","70","46"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-06","0.00","64","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-07","0.00","69","53"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-08","0.39","70","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-09","0.57","75","58"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-10","0.00","74","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-11","0.59","84","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-12","0.11","79","58"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-13","0.00","67","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-14","0.00","58","42"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-15","0.00","63","51"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-16","0.02","74","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-17","0.00","84","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-18","0.00","78","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-19","0.30","70","58"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-20","0.04","67","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-21","0.00","81","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-22","0.00","83","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-23","0.00","89","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-24","0.31","83","59"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-25","0.19","66","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-26","0.00","64","51"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-27","0.00","72","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-28","0.01","76","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-29","0.25","74","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-30","0.00","91","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-05-31","0.00","94","73"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-01","0.00","95","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-02","0.00","94","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-03","0.80","88","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-04","0.09","81","59"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-05","0.00","78","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-06","0.00","82","59"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-07","0.73","77","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-08","3.26","72","61"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-09","0.00","79","65"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-10","0.93","84","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-11","1.10","76","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-12","0.00","84","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-13","0.00","84","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-14","0.75","85","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-15","0.02","76","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-16","0.00","84","68"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-17","0.00","84","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-18","0.00","88","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-19","0.72","81","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-20","0.00","81","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-21","0.00","83","64"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-22","0.00","85","64"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-23","0.00","87","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-24","0.00","89","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-25","0.23","93","71"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-26","0.24","93","71"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-27","0.39","92","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-28","1.02","91","73"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-29","0.16","88","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-06-30","0.00","89","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-01","0.35","86","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-02","0.11","80","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-03","0.19","87","73"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-04","0.00","89","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-05","0.00","91","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-06","0.00","92","78"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-07","0.00","95","78"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-08","0.04","94","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-09","0.00","88","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-10","0.00","89","77"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-11","0.04","89","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-12","0.00","87","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-13","1.18","78","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-14","0.00","90","76"
