"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-01","1.80","57","44"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-02","0.00","49","40"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-03","0.00","52","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-04","0.02","58","41"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-05","0.15","62","52"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-06","0.00","70","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-07","0.40","57","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-08","0.75","55","38"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-09","0.00","44","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-10","0.00","36","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-11","0.00","39","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-12","0.02","48","34"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-13","0.00","59","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-14","0.03","54","47"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-15","0.00","63","43"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-16","0.00","61","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-17","0.00","33","20"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-18","0.20","36","26"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-19","0.00","41","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-20","0.00","33","24"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-21","0.10","28","20"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-22","0.00","34","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-23","0.00","37","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-24","0.00","39","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-25","0.00","35","17"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-26","0.00","25","9"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-27","0.00","42","24"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-28","0.70","42","30"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-29","0.00","30","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-30","0.00","37","22"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-01-31","0.00",,
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-01","0.00","35","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-02","0.15","40","31"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-03","0.00","33","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-04","0.00","30","16"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-05","0.00","16","8"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-06","0.02","19","8"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-07","0.00","23","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-08","0.00","26","14"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-09","0.00","30","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-10","0.00","31","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-11","0.00","32","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-12","0.01","43","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-13","0.75","39","21"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-14","0.05","34","18"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-15","0.00","21","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-16","0.00","25","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-17","0.00","35","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-18","0.00","32","20"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-19","0.00","29","13"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-20","0.10","46","29"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-21","0.00","51","39"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-22","0.09","45","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-23","0.00","38","25"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-24","0.00","38","19"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-25","0.57","35","27"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-26","0.00","37","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-27","0.00","47","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-02-28","0.00","43","35"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-01","1.63","51","36"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-02","0.00","60","40"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-03","0.00","56","37"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-04","0.00","39","32"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-05","0.00","40","23"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-06","0.03","25","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-07","0.09","25","15"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2007-03-08","0.00","35","18"
